UPC1,Descrption,Price,QOH,Tax,Category,Sub Category ,Sub Category 2,Sub Category 3 ,Vendor 
40007317001,Surry White Sz. 28,195,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007317001,Surry White Sz. 28,195,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007299001,Haywood TKO Sz. 27,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007298001,Haywood TKO Sz. 26,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007301001,Haywood TKO Sz. 29,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007301001,Haywood TKO Sz. 29,225,1,Yes,Apparel,Bottom,Pant,Denim,Raleigh Denim
40007993001,Seamless Tank,30,2,Yes,Apparel,Top,,,
40006201001,LS Group Hug,62,1,Yes,Apparel,Top,,,
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity 
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity 
40000004062,Local Celebrity Tee,38,1,Yes,Apparel,Top,T Shirt,,Local Celebrity 
